performance,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,duration,lifetime_gross,nrOfNewsArticles,nrOfNominations,nrOfPhotos,nrOfUserReviews,nrOfWins,ratingCount,ratingInteger,title,year
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9180,1236166,428,4,67,376,3,81007,8,METROPOLIS,1927
Success,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5220,19181,187,0,38,186,2,70057,9,CITY LIGHTS,1931
Success,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5220,163577,27,1,44,180,3,90847,9,MODERN TIMES,1936
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14280,198676459,1263,6,143,653,10,160414,8,GONE WITH THE WIND,1939
Success,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6120,22342633,2363,12,126,477,6,209506,8,THE WIZARD OF OZ,1939
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7140,1585634,1439,10,103,1101,7,228617,9,CITIZEN KANE,1941
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6120,4108411,382,6,153,960,5,296802,9,CASABLANCA,1942
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10320,23650000,129,1,15,218,13,30002,8,THE BEST YEARS OF OUR LIVES,1946
Success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6240,618173,338,4,62,364,3,85964,8,THE THIRD MAN,1949
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8280,63463,253,15,42,276,15,61738,8,ALL ABOUT EVE,1950
